timestamp,latitude,longitude
2026/02/27 11:45:57.000+00,-25.3853574,-51.4965204
2026/02/27 11:46:02.000+00,-25.3853819,-51.4965294
2026/02/27 11:46:06.000+00,-25.3853861,-51.4965246
2026/02/27 11:46:11.000+00,-25.3853846,-51.4965388
2026/02/27 11:46:16.000+00,-25.3853841,-51.4965414
2026/02/27 11:46:20.000+00,-25.3854019,-51.4965483
2026/02/27 11:46:24.000+00,-25.3854115,-51.4965552
2026/02/27 11:46:29.000+00,-25.3854175,-51.4965632
2026/02/27 11:46:30.000+00,-25.3854233,-51.4965667
2026/02/27 11:46:34.000+00,-25.3854668,-51.4965892
2026/02/27 11:46:38.000+00,-25.3855038,-51.496612
2026/02/27 11:46:42.000+00,-25.3855369,-51.4966298
2026/02/27 11:46:44.000+00,-25.3855482,-51.4966362
2026/02/27 11:46:48.000+00,-25.385582,-51.4966557
2026/02/27 11:46:52.000+00,-25.3855889,-51.4966553
2026/02/27 11:46:57.000+00,-25.3856338,-51.4966766
2026/02/27 11:47:01.000+00,-25.3856676,-51.4966957
2026/02/27 11:47:03.000+00,-25.3856709,-51.4966999
2026/02/27 11:47:08.000+00,-25.3857025,-51.4967247
2026/02/27 11:47:12.000+00,-25.3857341,-51.4967473
2026/02/27 11:47:16.000+00,-25.3857641,-51.4967621
2026/02/27 11:47:19.000+00,-25.3857911,-51.4967728
2026/02/27 11:47:24.000+00,-25.3858241,-51.4968034
2026/02/27 11:47:28.000+00,-25.3858536,-51.4968259
2026/02/27 11:47:32.000+00,-25.3858896,-51.4968438
2026/02/27 11:47:35.000+00,-25.385905,-51.4968608
2026/02/27 11:47:39.000+00,-25.3859321,-51.4968852
2026/02/27 11:47:43.000+00,-25.385947,-51.4968915
2026/02/27 11:47:49.000+00,-25.3859551,-51.49689
2026/02/27 11:47:53.000+00,-25.3859609,-51.4968868
2026/02/27 11:47:57.000+00,-25.385979,-51.4968825
2026/02/27 11:48:02.000+00,-25.3859804,-51.4968796
2026/02/27 11:48:06.000+00,-25.3859808,-51.4968765
2026/02/27 11:48:11.000+00,-25.3859641,-51.4968931
2026/02/27 11:48:15.000+00,-25.3859757,-51.4969006
2026/02/27 11:48:20.000+00,-25.3859729,-51.4969001
2026/02/27 11:48:25.000+00,-25.385979,-51.4969014
2026/02/27 11:48:30.000+00,-25.38598,-51.4969023
2026/02/27 11:48:35.000+00,-25.3859812,-51.4969019
2026/02/27 11:48:40.000+00,-25.3859819,-51.4969011
2026/02/27 11:48:45.000+00,-25.3859805,-51.4969001
2026/02/27 11:48:49.000+00,-25.3859727,-51.4969172
2026/02/27 11:48:54.000+00,-25.3859649,-51.4969668
2026/02/27 11:48:58.000+00,-25.3859396,-51.4969969
2026/02/27 11:49:02.000+00,-25.3859113,-51.4970106
2026/02/27 11:49:07.000+00,-25.3858972,-51.4970125
2026/02/27 11:49:11.000+00,-25.3858954,-51.497009
2026/02/27 11:49:15.000+00,-25.3858849,-51.4970056
2026/02/27 11:49:21.000+00,-25.3858843,-51.4970038
2026/02/27 11:49:25.000+00,-25.3858716,-51.4969922
2026/02/27 11:49:30.000+00,-25.3858421,-51.4969743
2026/02/27 11:49:35.000+00,-25.3858106,-51.496969
2026/02/27 11:49:38.000+00,-25.3857877,-51.4969477
2026/02/27 11:49:43.000+00,-25.3857504,-51.4969273
2026/02/27 11:49:47.000+00,-25.3857188,-51.496913
2026/02/27 11:49:52.000+00,-25.3856854,-51.4968996
2026/02/27 11:49:56.000+00,-25.3856635,-51.4968797
2026/02/27 11:50:00.000+00,-25.3856397,-51.4968615
2026/02/27 11:50:05.000+00,-25.3856115,-51.4968421
2026/02/27 11:50:10.000+00,-25.3855955,-51.4968255
2026/02/27 11:50:14.000+00,-25.3855587,-51.4968034
2026/02/27 11:50:16.000+00,-25.3855452,-51.4968
2026/02/27 11:50:20.000+00,-25.38551,-51.4967865
2026/02/27 11:50:25.000+00,-25.3854836,-51.4967669
2026/02/27 11:50:29.000+00,-25.3854695,-51.4967589
2026/02/27 11:50:34.000+00,-25.3854444,-51.4967449
2026/02/27 11:50:39.000+00,-25.385438,-51.4967485
2026/02/27 11:50:42.000+00,-25.3854221,-51.4967373
2026/02/27 11:50:46.000+00,-25.3853998,-51.4967211
2026/02/27 11:50:50.000+00,-25.3853796,-51.4967064
2026/02/27 11:50:55.000+00,-25.3853499,-51.4966928
2026/02/27 11:50:59.000+00,-25.3853152,-51.4966774
2026/02/27 11:51:04.000+00,-25.3853054,-51.4966771
2026/02/27 11:51:09.000+00,-25.3853065,-51.4966737
2026/02/27 11:51:10.000+00,-25.3853009,-51.4966708
2026/02/27 11:51:15.000+00,-25.3852833,-51.4966609
2026/02/27 11:51:19.000+00,-25.3852645,-51.4966537
2026/02/27 11:51:24.000+00,-25.3852423,-51.4966515
2026/02/27 11:51:29.000+00,-25.3852306,-51.4966551
2026/02/27 11:51:33.000+00,-25.3852359,-51.4966491
2026/02/27 11:51:37.000+00,-25.3852349,-51.496651
2026/02/27 11:51:42.000+00,-25.3852286,-51.4966643
2026/02/27 11:51:46.000+00,-25.3852247,-51.4966705
2026/02/27 11:51:51.000+00,-25.3852233,-51.4966761
2026/02/27 11:51:56.000+00,-25.3852122,-51.4967008
2026/02/27 11:52:00.000+00,-25.3851964,-51.4967312
2026/02/27 11:52:04.000+00,-25.3851891,-51.4967494
2026/02/27 11:52:06.000+00,-25.3851874,-51.4967552
2026/02/27 11:52:11.000+00,-25.3851876,-51.4967644
2026/02/27 11:52:16.000+00,-25.3851869,-51.4967654
2026/02/27 11:52:21.000+00,-25.3851843,-51.496767
2026/02/27 11:52:26.000+00,-25.385187,-51.4967705
2026/02/27 11:52:31.000+00,-25.385192,-51.4967744
2026/02/27 11:52:36.000+00,-25.3851997,-51.4967784
2026/02/27 11:52:41.000+00,-25.3852085,-51.4967793
2026/02/27 11:52:45.000+00,-25.385228,-51.4967806
2026/02/27 11:52:49.000+00,-25.3852372,-51.4967832
2026/02/27 11:52:54.000+00,-25.3852406,-51.4967868
2026/02/27 11:52:58.000+00,-25.3852594,-51.4967911
2026/02/27 11:53:03.000+00,-25.385281,-51.4968074
2026/02/27 11:53:08.000+00,-25.3852739,-51.4968059
2026/02/27 11:53:13.000+00,-25.3852724,-51.4968059
2026/02/27 11:53:18.000+00,-25.3852714,-51.4968077
2026/02/27 11:53:22.000+00,-25.3852743,-51.4968123
2026/02/27 11:53:26.000+00,-25.3852851,-51.4968243
2026/02/27 11:53:29.000+00,-25.3853045,-51.4968406
2026/02/27 11:53:34.000+00,-25.3853197,-51.4968458
2026/02/27 11:53:39.000+00,-25.3853477,-51.4968635
2026/02/27 11:53:44.000+00,-25.3853847,-51.4968854
2026/02/27 11:53:49.000+00,-25.385411,-51.4968945
2026/02/27 11:53:54.000+00,-25.3854311,-51.4968988
2026/02/27 11:53:58.000+00,-25.3854414,-51.4969039
2026/02/27 11:54:03.000+00,-25.3854546,-51.4969062
2026/02/27 11:54:07.000+00,-25.3854607,-51.4969067
2026/02/27 11:54:12.000+00,-25.3854723,-51.4969209
2026/02/27 11:54:16.000+00,-25.3855089,-51.4969361
2026/02/27 11:54:21.000+00,-25.3855452,-51.4969524
2026/02/27 11:54:24.000+00,-25.3855576,-51.4969551
2026/02/27 11:54:29.000+00,-25.3855587,-51.4969522
2026/02/27 11:54:34.000+00,-25.3855626,-51.4969457
2026/02/27 11:54:39.000+00,-25.3855604,-51.4969457
2026/02/27 11:54:43.000+00,-25.3855531,-51.4969421
2026/02/27 11:54:48.000+00,-25.3855514,-51.4969418
2026/02/27 11:54:53.000+00,-25.3855516,-51.4969426
2026/02/27 11:54:58.000+00,-25.3855543,-51.4969464
2026/02/27 11:55:03.000+00,-25.3855585,-51.4969557
2026/02/27 11:55:08.000+00,-25.3855579,-51.4969583
2026/02/27 11:55:13.000+00,-25.3855572,-51.4969611
2026/02/27 11:55:17.000+00,-25.3855559,-51.4969602
2026/02/27 11:55:22.000+00,-25.3855566,-51.4969628
2026/02/27 11:55:27.000+00,-25.3855565,-51.4969628
2026/02/27 11:55:32.000+00,-25.3855543,-51.4969618
2026/02/27 11:55:42.000+00,-25.3855544,-51.4969618
2026/02/27 11:55:47.000+00,-25.385543,-51.4969524
2026/02/27 11:55:52.000+00,-25.3855452,-51.4969476
2026/02/27 11:55:57.000+00,-25.3855473,-51.4969522
2026/02/27 11:56:02.000+00,-25.3855481,-51.4969511
2026/02/27 11:56:06.000+00,-25.3855501,-51.4969495
2026/02/27 11:56:11.000+00,-25.3855514,-51.4969502
2026/02/27 11:56:16.000+00,-25.3855518,-51.496951
2026/02/27 11:56:26.000+00,-25.38555,-51.4969502
2026/02/27 11:56:31.000+00,-25.3855455,-51.4969546
2026/02/27 11:56:36.000+00,-25.3855444,-51.4969566
2026/02/27 11:56:41.000+00,-25.3855442,-51.4969569
2026/02/27 11:56:46.000+00,-25.3855442,-51.4969571
2026/02/27 11:56:51.000+00,-25.3855441,-51.4969572
2026/02/27 11:57:11.000+00,-25.3855443,-51.4969518
2026/02/27 11:57:16.000+00,-25.385548,-51.49695
2026/02/27 11:57:21.000+00,-25.3855888,-51.496978
2026/02/27 11:57:26.000+00,-25.385605,-51.4969812
2026/02/27 11:57:31.000+00,-25.3856218,-51.4969811
2026/02/27 11:57:36.000+00,-25.3856205,-51.4969793
2026/02/27 11:57:40.000+00,-25.3856267,-51.4969843
2026/02/27 11:57:44.000+00,-25.3856518,-51.4970198
2026/02/27 11:57:48.000+00,-25.3856816,-51.4970315
2026/02/27 11:57:53.000+00,-25.3857166,-51.4970444
2026/02/27 11:57:57.000+00,-25.3857428,-51.4970447
2026/02/27 11:58:01.000+00,-25.3857717,-51.4970632
2026/02/27 11:58:06.000+00,-25.3857991,-51.4970862
2026/02/27 11:58:08.000+00,-25.3858091,-51.4970899
2026/02/27 11:58:13.000+00,-25.3858383,-51.4971045
2026/02/27 11:58:18.000+00,-25.3858314,-51.4971005
2026/02/27 11:58:22.000+00,-25.3858337,-51.4971132
2026/02/27 11:58:27.000+00,-25.3858388,-51.4971164
2026/02/27 11:58:32.000+00,-25.3858512,-51.497129
2026/02/27 11:58:36.000+00,-25.3858578,-51.4971677
2026/02/27 11:58:40.000+00,-25.385847,-51.497194
2026/02/27 11:58:45.000+00,-25.3858333,-51.4972129
2026/02/27 11:58:49.000+00,-25.385824,-51.4972165
2026/02/27 11:58:54.000+00,-25.3858078,-51.4972279
2026/02/27 11:58:58.000+00,-25.3857773,-51.4972164
2026/02/27 11:59:03.000+00,-25.3857297,-51.4972025
2026/02/27 11:59:05.000+00,-25.3857142,-51.4972005
2026/02/27 11:59:09.000+00,-25.3856838,-51.4971932
2026/02/27 11:59:14.000+00,-25.3856589,-51.4971795
2026/02/27 11:59:18.000+00,-25.3856391,-51.4971638
2026/02/27 11:59:23.000+00,-25.3856163,-51.4971446
2026/02/27 11:59:27.000+00,-25.3856138,-51.4971447
2026/02/27 11:59:32.000+00,-25.3856034,-51.4971415
2026/02/27 11:59:34.000+00,-25.3855885,-51.4971345
2026/02/27 11:59:38.000+00,-25.3855568,-51.4971151
2026/02/27 11:59:43.000+00,-25.3855266,-51.4970947
2026/02/27 11:59:47.000+00,-25.3855096,-51.4970888
2026/02/27 11:59:52.000+00,-25.3854804,-51.4970749
2026/02/27 11:59:53.000+00,-25.3854657,-51.4970662
2026/02/27 11:59:58.000+00,-25.3854318,-51.4970491
2026/02/27 12:00:02.000+00,-25.3853908,-51.4970356
2026/02/27 12:00:07.000+00,-25.3853563,-51.4970181
2026/02/27 12:00:14.000+00,-25.3853485,-51.4970094
2026/02/27 12:00:18.000+00,-25.3853462,-51.4970071
